1,"110 Consulting",(206) 532-1234,"Amy","Amy@gmail.com","<pre>                                                                                     D A T A    S H E E T                                                                                                                           
           FOR: 110 Consulting           ajwd fakljd;f aldjfa df a                                                                              alks   aksd jf923092 ,m,mnas    askksj;aj; f       
           HISTORY:    ########## ############  ####################################################################
                              ########## ############  ####################################################################</pre>","Active","big",07/28/15,07/28/15,1,"600 108th Avenue NE, Suite 502 Bellevue, WA 98004","-122.194971,47.615653"
2,"2Morrow Inc",(206) 532-1235,"Adam","Adam@gmail.com","<pre>                                                                                     D A T A    S H E E T                                                                                                                           
           FOR: 110 Consulting           ajwd fakljd;f aldjfa df a                                                                              alks   aksd jf923092 ,m,mnas    askksj;aj; f       
           HISTORY:    ########## ############  ####################################################################
                              ########## ############  ####################################################################</pre>","Dormant","small",07/28/15,07/28/15,2,"821 Second Avenue, Suite 800 Seattle, WA 98104","-122.3349,47.60397"
3,"3D Corporation",(206) 532-1236,"Beth","Beth@gmail.com","<pre>                                                                                     D A T A    S H E E T                                                                                                                           
           FOR: 110 Consulting           ajwd fakljd;f aldjfa df a                                                                              alks   aksd jf923092 ,m,mnas    askksj;aj; f       
           HISTORY:    ########## ############  ####################################################################
                              ########## ############  ####################################################################</pre>","Prospect","medium",07/28/15,07/28/15,1,"2103 Grant Street Bellingham, WA 98225","-122.469274,48.757788"
4,"3Sharp",(206) 532-1237,"Bob","Bob@gmail.com","<pre>                                                                                     D A T A    S H E E T                                                                                                                           
           FOR: 110 Consulting           ajwd fakljd;f aldjfa df a                                                                              alks   aksd jf923092 ,m,mnas    askksj;aj; f       
           HISTORY:    ########## ############  ####################################################################
                              ########## ############  ####################################################################</pre>","DoNOTsolicit","really big",07/28/15,07/28/15,2,"14700 NE 95th Street, Suite 210 Redmond, WA 98052","-122.143874,47.687538"
5,"AB Mobile Apps",(206) 532-1238,"Cary","Cary@gmail.com","<pre>                                                                                     D A T A    S H E E T                                                                                                                           
           FOR: 110 Consulting           ajwd fakljd;f aldjfa df a                                                                              alks   aksd jf923092 ,m,mnas    askksj;aj; f       
           HISTORY:    ########## ############  ####################################################################
                              ########## ############  ####################################################################</pre>","Active","medium",07/28/15,07/28/15,1,"1100 Dexter Avenue North, Suite 100 Seattle, WA 98109","-122.341903,47.629136"
6,"Adhost",(206) 532-1239,"Daniel","Daniel@gmail.com","<pre>                                                                                     D A T A    S H E E T                                                                                                                           
           FOR: 110 Consulting           ajwd fakljd;f aldjfa df a                                                                              alks   aksd jf923092 ,m,mnas    askksj;aj; f       
           HISTORY:    ########## ############  ####################################################################
                              ########## ############  ####################################################################</pre>","Active","small",07/28/15,07/28/15,2,"140 Fourth Ave N Ste 360 Seattle, WA 98109","-122.348006,47.619156"
7,"ADR Data Recovery",(206) 532-1240,"Eddi","Eddi@gmail.com","<pre>                                                                                     D A T A    S H E E T                                                                                                                           
           FOR: 110 Consulting           ajwd fakljd;f aldjfa df a                                                                              alks   aksd jf923092 ,m,mnas    askksj;aj; f       
           HISTORY:    ########## ############  ####################################################################
                              ########## ############  ####################################################################</pre>","Prospect","small",07/28/15,07/28/15,1,"1700 7th Ave. Suite 2100 Seattle, WA 98101","-122.335195,47.613968 "
8,"Affirma",(206) 532-1241,"Freddie","Freddie@gmail.com","<pre>                                                                                     D A T A    S H E E T                                                                                                                           
           FOR: 110 Consulting           ajwd fakljd;f aldjfa df a                                                                              alks   aksd jf923092 ,m,mnas    askksj;aj; f       
           HISTORY:    ########## ############  ####################################################################
                              ########## ############  ####################################################################</pre>","Prospect","medium",07/28/15,07/28/15,2,"3380 146th Place SE, Suite 200 Bellevue, WA 98007","-122.144999,47.58041"
9,"AFourTech",(206) 532-1242,"Geo","Geo@gmail.com","<pre>                                                                                     D A T A    S H E E T                                                                                                                           
           FOR: 110 Consulting           ajwd fakljd;f aldjfa df a                                                                              alks   aksd jf923092 ,m,mnas    askksj;aj; f       
           HISTORY:    ########## ############  ####################################################################
                              ########## ############  ####################################################################</pre>","Active","big",07/28/15,07/28/15,1,"8201 164th Avenue NE, Suite 200 Redmond, WA 98052","-122.122155,47.676378"
10,"Akvelon",(206) 532-1243,"Hairy","Hairy@gmail.com","<pre>                                                                                     D A T A    S H E E T                                                                                                                           
           FOR: 110 Consulting           ajwd fakljd;f aldjfa df a                                                                              alks   aksd jf923092 ,m,mnas    askksj;aj; f       
           HISTORY:    ########## ############  ####################################################################
                              ########## ############  ####################################################################</pre>","Dormant","big",07/28/15,07/28/15,2,"1750 112th Ave Bellevue, WA 98004","-122.190015,47.625739 "
11,"All IT Supported",(206) 532-1244,"Amy","Amy@gmail.com","<pre>                                                                                     D A T A    S H E E T                                                                                                                           
           FOR: 110 Consulting           ajwd fakljd;f aldjfa df a                                                                              alks   aksd jf923092 ,m,mnas    askksj;aj; f       
           HISTORY:    ########## ############  ####################################################################
                              ########## ############  ####################################################################</pre>","Prospect","WOW",07/28/15,07/28/15,1,"701 Fifth Avenue, 42nd Floor Seattle, WA 98104","-122.347939,47.625677"
12,"Amreli Technology Solutions",(206) 532-1245,"Adam","Adam@gmail.com","<pre>                                                                                     D A T A    S H E E T                                                                                                                           
           FOR: 110 Consulting           ajwd fakljd;f aldjfa df a                                                                              alks   aksd jf923092 ,m,mnas    askksj;aj; f       
           HISTORY:    ########## ############  ####################################################################
                              ########## ############  ####################################################################</pre>","DoNOTsolicit","big",07/28/15,07/28/15,2,"17530 NE Union Hill Road, Suite 290 Redmond, WA 98052","-122.106674,47.675326 "
13,"Anexis Creative Solutions",(206) 532-1246,"Beth","Beth@gmail.com","<pre>                                                                                     D A T A    S H E E T                                                                                                                           
           FOR: 110 Consulting           ajwd fakljd;f aldjfa df a                                                                              alks   aksd jf923092 ,m,mnas    askksj;aj; f       
           HISTORY:    ########## ############  ####################################################################
                              ########## ############  ####################################################################</pre>","Active","small",07/28/15,07/28/15,1,"427 Bellevue Way SE Bellevue, WA 98004","-122.201402,47.606323"
14,"Applied by Design",(206) 532-1247,"Bob","Bob@gmail.com","<pre>                                                                                     D A T A    S H E E T                                                                                                                           
           FOR: 110 Consulting           ajwd fakljd;f aldjfa df a                                                                              alks   aksd jf923092 ,m,mnas    askksj;aj; f       
           HISTORY:    ########## ############  ####################################################################
                              ########## ############  ####################################################################</pre>","Active","medium",07/28/15,07/28/15,2,"PO Box 16473 Seattle, WA 98116","-122.3283,47.6001"
15,"Aquilon Software",(206) 532-1248,"Cary","Cary@gmail.com","<pre>                                                                                     D A T A    S H E E T                                                                                                                           
           FOR: 110 Consulting           ajwd fakljd;f aldjfa df a                                                                              alks   aksd jf923092 ,m,mnas    askksj;aj; f       
           HISTORY:    ########## ############  ####################################################################
                              ########## ############  ####################################################################</pre>","Prospect","really big",07/28/15,07/28/15,1,"10900 NE 8th Street, Suite 1000 Bellevue, WA 98004","-122.194272,47.617767"
16,"Daeta Networks",(206) 532-1249,"Daniel","Daniel@gmail.com","<pre>                                                                                     D A T A    S H E E T                                                                                                                           
           FOR: 110 Consulting           ajwd fakljd;f aldjfa df a                                                                              alks   aksd jf923092 ,m,mnas    askksj;aj; f       
           HISTORY:    ########## ############  ####################################################################
                              ########## ############  ####################################################################</pre>","Prospect","medium",07/28/15,07/28/15,2,"16628 Meridian Ave Shoreline, WA 98133","-122.334459,47.750321"
17,"Datarim",(206) 532-1250,"Eddi","Eddi@gmail.com","<pre>                                                                                     D A T A    S H E E T                                                                                                                           
           FOR: 110 Consulting           ajwd fakljd;f aldjfa df a                                                                              alks   aksd jf923092 ,m,mnas    askksj;aj; f       
           HISTORY:    ########## ############  ####################################################################
                              ########## ############  ####################################################################</pre>","Active","small",07/28/15,07/28/15,1,"8040 161st Ave NE, Suite 173 Redmond, WA 98052","-122.124954,47.675475"
18,"Dataworks Consulting, Inc.",(206) 532-1251,"Freddie","Freddie@gmail.com","<pre>                                                                                     D A T A    S H E E T                                                                                                                           
           FOR: 110 Consulting           ajwd fakljd;f aldjfa df a                                                                              alks   aksd jf923092 ,m,mnas    askksj;aj; f       
           HISTORY:    ########## ############  ####################################################################
                              ########## ############  ####################################################################</pre>","Dormant","small",07/28/15,07/28/15,2,"7243 129th Avenue SE Newcastle, WA 98056","-122.168502,47.537127"
19,"Denali Advanced Integration",(206) 532-1252,"Geo","Geo@gmail.com","<pre>                                                                                     D A T A    S H E E T                                                                                                                           
           FOR: 110 Consulting           ajwd fakljd;f aldjfa df a                                                                              alks   aksd jf923092 ,m,mnas    askksj;aj; f       
           HISTORY:    ########## ############  ####################################################################
                              ########## ############  ####################################################################</pre>","Prospect","medium",07/28/15,07/28/15,1,"17735 Ne 65th St Ste 130 Redmond, WA 98052","-122.102682,47.662565 "
20,"Dogfish Software",(206) 532-1253,"Hairy","Hairy@gmail.com","<pre>                                                                                     D A T A    S H E E T                                                                                                                           
           FOR: 110 Consulting           ajwd fakljd;f aldjfa df a                                                                              alks   aksd jf923092 ,m,mnas    askksj;aj; f       
           HISTORY:    ########## ############  ####################################################################
                              ########## ############  ####################################################################</pre>","DoNOTsolicit","big",07/28/15,07/28/15,2,"216 First Avenue South, Suite 450 Seattle, WA 98104","-122.333788,47.60034"
